molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,target_pref_name,target_organism,activity_comment,assay_description,document_journal,document_year
CHEMBL81782,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],3300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of Amyloid beta (1 to 42) (unknown origin) aggregation assessed as amount of fibrils formation after 2 hrs by thioflavin T based spectrofluorimetric method,Bioorg Med Chem,2015
CHEMBL3593278,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(OCCCO[N+](=O)[O-])cc21.[I-],7700,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of Amyloid beta (1 to 42) (unknown origin) aggregation assessed as amount of fibrils formation after 2 hrs by thioflavin T based spectrofluorimetric method,Bioorg Med Chem,2015
CHEMBL3593279,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(Oc3no[n+]([O-])c3-c3ccccc3)cc21.[I-],1600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of Amyloid beta (1 to 42) (unknown origin) aggregation assessed as amount of fibrils formation after 2 hrs by thioflavin T based spectrofluorimetric method,Bioorg Med Chem,2015
CHEMBL3593282,CCCOc1ccc2c(c1)N(CC)/C(=C/C=C/c1sc3ccccc3[n+]1CC)S2.[I-],800,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of Amyloid beta (1 to 42) (unknown origin) aggregation assessed as amount of fibrils formation after 2 hrs by thioflavin T based spectrofluorimetric method,Bioorg Med Chem,2015
CHEMBL3594076,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)ccc1O,4300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by thioflavin T fluorescence assay,J Nat Prod,2015
CHEMBL3594077,Oc1ccc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc1,15800,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by thioflavin T fluorescence assay,J Nat Prod,2015
CHEMBL3594078,Oc1ccc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc1O,1300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by thioflavin T fluorescence assay,J Nat Prod,2015
CHEMBL3594079,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc(OC)c1O,2900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by thioflavin T fluorescence assay,J Nat Prod,2015
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by thioflavin T fluorescence assay,J Nat Prod,2015
CHEMBL3622510,O=C(O)c1c(O)cc2c([nH]c3ccccc32)c1O,15000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs by Thioflavin-T Abeta aggregation assay,ACS Med Chem Lett,2015
CHEMBL3621634,Oc1ccc(/C=C/c2ccc(O)c3ncccc23)cc1,8500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by ThT assay,Medchemcomm,2015
CHEMBL3622258,CC(C)c1c(NC(=O)/C=C/c2ccc(O)c(O)c2)cc2c(c1[N+](=O)[O-])CC[C@H]1[C@](C)(CNC(=O)/C=C/c3ccc(O)c(O)c3)CCC[C@]21C,3960,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta-42 (unknown origin) self-mediated aggregation by thioflavin-T fluorescence assay,Medchemcomm,2014
CHEMBL3740785,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,244300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3741682,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1OC=CC(C)(C)O2,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3742121,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3741529,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1cc2c(cc15)OC(C)(C)C=CO2,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3739748,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6OC=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,269500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3741300,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6C=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,203700,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3741111,CC1=CC[C@@H]2[C@@]3(C)[C@@H](O)CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3739499,CC1=CC[C@@H]2[C@@]3(C)C=CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,186600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3742151,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC[C@]3(C)[C@H](CC=C(C)[C@@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]12C,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL469159,CC1(C)C=Cc2cc(C(=O)O)ccc2O1,300000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,71900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay,J Nat Prod,2015
CHEMBL3740705,COc1cccc(N2N=C(C)CC2=O)c1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3739861,CC1=NN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3741643,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,26000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3741680,CC1=NN(c2cccc(COCc3ccccc3)c2)C(=O)C1,27000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3741909,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,5600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3741268,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1,3400,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3742091,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,14500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL3741747,CC1=NN(c2ccc(-n3c(-c4ccccc4)cc4ccccc43)cc2)C(=O)C1,19600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay,Bioorg Med Chem Lett,2016
CHEMBL290916,CC1=NN(c2ccccc2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL1880288,CC1=NN(c2ccccc2C)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3742311,CC1=NN(c2cccc(C)c2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740157,CC1=NN(c2ccc(C)cc2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3739456,CC1=NN(c2ccc3ccccc3c2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740761,CCc1ccccc1N1N=C(C)CC1=O,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740979,CC1=NN(c2cc(C)ccc2C)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3741747,CC1=NN(c2ccc(-n3c(-c4ccccc4)cc4ccccc43)cc2)C(=O)C1,3500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3742091,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,3900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3741268,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1,5100,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3741909,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,19500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3742036,COc1cc(N2N=C(C)CC2=O)nc(OC)n1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740667,CC1=NN(c2cccnc2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3741680,CC1=NN(c2cccc(COCc3ccccc3)c2)C(=O)C1,2900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3741643,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,4000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740581,CC1=NN(c2cccc(N3CCCC3)c2)C(=O)C1,16800,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3739861,CC1=NN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(=O)C1,4000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740705,COc1cccc(N2N=C(C)CC2=O)c1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3739947,COc1cc(F)cc(N2N=C(C)CC2=O)c1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3740346,CC1=NN(c2ccc(C(F)(F)F)cc2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3741408,CC1=NN(c2ccc(C)c(F)c2)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL3742186,CC1=NN(c2cc(F)ccc2C)C(=O)C1,50000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,Bioorg Med Chem Lett,2016
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,30300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,33000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,15300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,15100,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL309490,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,500000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,75100,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL503168,O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,55400,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,Bioorg Med Chem,2016
CHEMBL3752685,Cl.Cl.c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,8400,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of Amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs by Thioflavin T-based fluorometric assay,J Med Chem,2016
CHEMBL3751854,COc1ccc(CC(=O)Nc2nc(-c3ccccc3)cs2)cc1,10600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 10 hrs by thioflavin T based fluorometric assay,Bioorg Med Chem Lett,2016
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,11300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 10 hrs by thioflavin T based fluorometric assay,Bioorg Med Chem Lett,2016
CHEMBL3781419,Cc1ccc(-c2cc(NCCNc3cc(-c4cccs4)[nH]n3)n[nH]2)cc1,29000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,Eur J Med Chem,2016
CHEMBL3781022,CN(C)c1ccc(-c2cc(NCCNc3cc(-c4ccc(N(C)C)cc4)[nH]n3)n[nH]2)cc1,7500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,Eur J Med Chem,2016
CHEMBL3781026,Fc1ccc(-c2cc(NCCNc3cc(-c4ccc(F)cc4)[nH]n3)n[nH]2)cc1,40500,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,Eur J Med Chem,2016
CHEMBL3797646,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1,71.28,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3797706,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,22.54,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3799558,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,51.81,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3798857,O=C(COC(=O)Cc1ccc(O)cc1)Nc1c2c(nc3ccccc13)CCCC2,45.29,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3797623,O=C(COC(=O)Cc1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,77.45,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3798989,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1,55.86,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3797363,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,30.74,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3799703,COc1ccc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,65.5,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3797381,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O,37.36,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3800453,O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,17.36,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3800317,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,49.14,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3799950,COc1cc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,45.88,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3798813,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,46.12,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3799175,O=C(COC(=O)/C=C/c1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,51.77,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL3799641,O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,38.96,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,12.21,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,Eur J Med Chem,2016
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4100,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,ACS Med Chem Lett,2016
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3100,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,ACS Med Chem Lett,2016
